Video,Frame,Dominant Emotion,Dominant Emotion Percentage,angry,disgust,fear,happy,sad,surprise,neutral
2.mp4,2.mp4_frame_0058.jpg,neutral,99.89238976790844,0.003271471918559822,6.239200338020881e-12,0.003085963000777766,2.3730816505239128e-07,0.10122844854241303,2.128925429607313e-05,99.89238976790844
3.mp4,3.mp4_frame_0122.jpg,neutral,90.52510261535645,3.2475794276010106e-08,4.0395960784068145e-16,9.462287276983261,0.0007631613698322326,0.006190045678522438,0.005655430140905082,90.52510261535645
5.mp4,5.mp4_frame_0018.jpg,sad,99.5560884475708,0.13938285410404205,1.4854774355033129e-08,0.01786119391908869,1.3452474689756855e-06,99.5560884475708,1.2417523953534015e-08,0.2866670722141862
1.mp4,1.mp4_frame_0128.jpg,neutral,81.28710389137268,6.751557439565659,6.0355056064054224e-06,3.0218571424484253,0.0017777612811187282,8.786726742982864,0.15097063733264804,81.28710389137268
4.mp4,4.mp4_frame_0162.jpg,neutral,54.56169843673706,2.3311711847782135,0.0012341594811005052,7.58083239197731,0.2776889130473137,35.23266315460205,0.01470859133405611,54.56169843673706
5.mp4,5.mp4_frame_0024.jpg,happy,99.99999403953517,7.775974772383195e-09,1.3240592966397071e-17,2.1425870356020678e-06,99.99999403953517,3.511801947618167e-07,7.114717417398534e-06,2.402459530183103e-06
1.mp4,1.mp4_frame_0114.jpg,neutral,42.16117858886719,27.173122763633728,0.0018454964447300881,4.567461088299751,0.2990339184179902,25.750070810317993,0.04728760104626417,42.16117858886719
3.mp4,3.mp4_frame_0491.jpg,angry,77.29947241551012,77.29947241551012,0.001219266632859475,20.735574276974884,0.0028749951735959553,1.5074928356715636,0.2191647393134547,0.2341994736552866
3.mp4,3.mp4_frame_0485.jpg,angry,39.896783232688904,39.896783232688904,0.5658722948282957,38.408613204956055,0.48907380551099777,10.347490757703781,3.213389590382576,7.078782469034195
5.mp4,5.mp4_frame_0030.jpg,happy,99.99999403953517,1.304588070948952e-07,7.297779055354076e-16,2.490887822368972e-06,99.99999403953517,3.317358319265072e-06,1.7642031110597738e-06,2.1944975146139667e-06
1.mp4,1.mp4_frame_0100.jpg,angry,64.43532109260559,64.43532109260559,0.0004550741778075462,2.658628113567829,0.026181331486441195,7.634356617927551,0.06699554505757987,25.178059935569763
3.mp4,3.mp4_frame_0308.jpg,fear,80.06082654361883,11.721004499256878,0.006017651316481349,80.06082654361883,0.05476177647221246,5.146437817599644,2.1155263626889207,0.8954252650097171
3.mp4,3.mp4_frame_0452.jpg,angry,46.91130780116413,46.91130780116413,0.019088231148937332,22.58863569362589,0.004405009692503363,24.162894387590217,0.011801690513376506,6.30186722300854
3.mp4,3.mp4_frame_0334.jpg,sad,79.90759491369694,0.6145493959366916,5.4087070493233345e-06,1.5318556670460504,0.0006104479234693964,79.90759491369694,0.0007183915814316704,17.944664832631638
3.mp4,3.mp4_frame_0320.jpg,sad,98.40914607048035,1.634243629311527e-07,2.8602595010356058e-11,0.04159503732807934,0.00022113288196123904,98.40914607048035,1.0764298659241348e-11,1.5490361489355564
3.mp4,3.mp4_frame_0446.jpg,sad,52.49331593513489,16.391512751579285,0.005294398215482943,19.085395336151123,0.0016710928321117535,52.49331593513489,0.007200332038337365,12.015606462955475
4.mp4,4.mp4_frame_0002.jpg,sad,92.37933113451786,1.812317702908379,1.5469006554009695e-05,5.080719967527387,4.170231839725888e-05,92.37933113451786,2.0837253876461792e-05,0.7275598557329092
4.mp4,4.mp4_frame_0016.jpg,sad,93.69385204874587,1.3773245626583435,3.451483997829614e-05,4.548390853309086,0.00018222028706258128,93.69385204874587,6.969955695042714e-05,0.38014375542216033
1.mp4,1.mp4_frame_0048.jpg,angry,78.35848927497864,78.35848927497864,0.00027084261091658846,0.45724143274128437,0.018700309738051146,1.075046882033348,0.13428727397695184,19.955965876579285
1.mp4,1.mp4_frame_0060.jpg,angry,91.01377725601196,91.01377725601196,5.796053983431193e-05,0.13628473971039057,0.00040094009818858467,2.042881026864052,0.0019069517293246463,6.8046920001506805
3.mp4,3.mp4_frame_0283.jpg,neutral,96.19065568558506,8.356113692952332e-08,2.7647054650378704e-18,0.32266951976185804,1.271275057998933e-05,3.486659334700187,2.88001081678723e-09,96.19065568558506
3.mp4,3.mp4_frame_0297.jpg,neutral,64.00066185005448,0.3243040912886371,0.000324989575889989,2.9337607096148384,1.9625921279301797,30.732456533009593,0.04590506397732365,64.00066185005448
1.mp4,1.mp4_frame_0074.jpg,angry,82.24298252123491,82.24298252123491,0.0003704392150003554,1.3020866395286703,0.002744763860283314,4.760399744534477,0.025544407320993084,11.665876905076319
3.mp4,3.mp4_frame_0268.jpg,neutral,88.06342411419297,1.5283031828129982e-10,3.9275971658629423e-19,11.9363158605287,5.264956562567539e-08,5.7353097425850676e-05,0.00020524602264322615,88.06342411419297
